customer_id,age,gender,income,employment_type,tenure_months,segment,credit_limit,balances,utilization_rate,num_late_payments_3m,num_late_payments_12m,max_dpd,last_default_flag,txn_count,avg_ticket,category_spend_grocery,category_spend_fuel,category_spend_travel,intl_spend_pct,num_products,has_credit_card,has_auto_loan,has_mortgage,mobile_app_logins_30d,complaints_6m,nps_score,offer_click_rate,cpi,unemployment_rate,ramadan_flag,eid_flag
CUST_00001,56,Male,13648,Self-Employed,68,Mass,43028,3654,0.084919473,1,1,0,0,22,497,4,43,1754,0.14,2,1,0,1,13,0,68,0.34,107.0824158,9.762433261,0,0
CUST_00002,69,Female,11955,Self-Employed,113,Mass,9562,41754,4.366203074,0,1,0,0,13,346,1508,928,3523,0.23,4,1,0,0,15,0,10,0.21,111.5694738,5.228397948,0,0
CUST_00003,46,Female,4804,Self-Employed,224,Affluent,1009,16946,16.77821782,0,3,0,0,24,226,790,300,1572,0.14,2,0,1,0,9,0,38,0.02,107.0011216,9.420979237,0,0
CUST_00004,32,Female,19610,Self-Employed,166,Affluent,12725,40570,3.187961653,0,1,0,0,22,383,322,925,4445,0.1,1,1,0,0,19,0,1,0.19,111.4521246,9.023451579,0,0
CUST_00005,60,Male,3284,Salaried,46,Mass,27532,26850,0.975193404,1,1,15,0,19,370,484,490,1225,0.02,3,1,0,0,18,0,-33,0.49,118.6822479,9.500883985,0,0
CUST_00006,25,Female,2689,Salaried,201,Mass,29467,34832,1.182027963,0,1,0,0,21,56,1548,723,1645,0.21,4,1,0,0,26,0,-66,0.05,104.8213193,8.827447588,0,0
CUST_00007,38,Female,6782,Self-Employed,100,Mass,18772,41179,2.193522612,0,1,0,0,15,308,287,777,1927,0.05,3,1,0,0,17,0,29,0.41,95.70204547,8.521122904,0,0
CUST_00008,56,Female,6507,Unemployed,26,Mass,31846,19015,0.597073508,0,2,0,0,19,228,904,203,1417,0.26,2,1,0,0,14,0,53,0.28,121.3807573,4.031583718,0,0
CUST_00009,36,Male,3996,Salaried,75,Mass,35518,10691,0.300993834,1,2,30,0,22,212,1092,7,2528,0.21,2,1,0,0,15,0,3,0.1,104.0234518,9.469524124,0,0
CUST_00010,40,Male,18813,Salaried,212,Mass,37939,2016,0.053136531,0,0,15,0,9,108,1573,127,1440,0.35,3,1,1,1,16,0,-92,0.15,108.2663515,8.227197365,0,0
CUST_00011,28,Female,10631,Salaried,181,Affluent,5510,33393,6.059335874,0,2,0,0,17,84,1071,790,3847,0.14,2,0,0,0,17,0,-36,0.3,112.8156381,8.595423389,0,0
CUST_00012,28,Female,6507,Salaried,191,Mass,1484,31189,21.0026936,0,3,0,0,22,125,1779,899,4136,0.2,4,1,0,0,22,1,-75,0.14,103.6052883,9.886995017,0,0
CUST_00013,41,Female,2527,Salaried,112,Mass,34063,9856,0.289337717,0,0,15,0,18,257,1631,436,230,0.01,3,1,1,0,25,0,-5,0.15,116.1167962,8.333215428,0,0
CUST_00014,53,Male,4996,Unemployed,63,Mass,39357,48232,1.225468774,1,2,0,0,32,283,223,476,752,0.17,4,0,0,0,15,0,23,0.29,104.7088081,5.391663849,0,0
CUST_00015,57,Male,5467,Self-Employed,112,Affluent,47314,36109,0.763161788,0,1,0,0,15,221,190,493,378,0.22,3,0,0,1,18,0,70,0.23,99.0044753,9.041306931,0,0
CUST_00016,41,Male,19745,Self-Employed,166,Mass,1347,16447,12.20103858,1,0,0,0,12,143,1558,672,3655,0.32,4,1,0,0,15,1,-31,0.45,108.920792,7.285832491,0,1
CUST_00017,20,Female,16772,Self-Employed,143,Mass,40861,42951,1.051123293,0,3,30,0,20,440,523,707,463,0.12,4,1,1,1,15,0,-72,0.23,95.94302089,4.395667791,0,0
CUST_00018,39,Male,2703,Salaried,99,Mass,22601,25525,1.129324839,0,2,0,0,19,345,123,142,2556,0.11,1,0,0,0,12,0,-82,0.13,108.4593678,7.380093948,0,0
CUST_00019,19,Female,2662,Unemployed,9,Mass,19877,48279,2.428765469,1,1,0,0,22,306,1044,246,3265,0.22,4,1,0,0,18,0,61,0.06,111.4878567,3.461690249,0,0
