customer_id,age,gender,income,employment_type,tenure_months,segment,credit_limit,balances,utilization_rate,num_late_payments_3m,num_late_payments_12m,max_dpd,last_default_flag,txn_count,avg_ticket,category_spend_grocery,category_spend_fuel,category_spend_travel,intl_spend_pct,num_products,has_credit_card,has_auto_loan,has_mortgage,mobile_app_logins_30d,complaints_6m,nps_score,offer_click_rate,cpi,unemployment_rate,ramadan_flag,eid_flag,churn,default
CUST_00001,56,Male,13648,Self-Employed,68,Mass,43028,3654,0.0849194729136164,1,1,0,0,22,497,4,43,1754,0.14,2,1,0,1,13,0,68,0.34,107.08241582152846,9.76243326059851,0,0,0,0
CUST_00002,69,Female,11955,Self-Employed,113,Mass,9562,41754,4.366203074349054,0,1,0,0,13,346,1508,928,3523,0.23,4,1,0,0,15,0,10,0.21,111.5694737907234,5.2283979483260286,0,0,0,0
CUST_00003,46,Female,4804,Self-Employed,224,Affluent,1009,16946,16.778217821782178,0,3,0,0,24,226,790,300,1572,0.14,2,0,1,0,9,0,38,0.02,107.00112158174409,9.420979236834082,0,0,0,0
CUST_00004,32,Female,19610,Self-Employed,166,Affluent,12725,40570,3.187961653308188,0,1,0,0,22,383,322,925,4445,0.1,1,1,0,0,19,0,1,0.19,111.452124559674,9.023451579305892,0,0,0,0
CUST_00005,60,Male,3284,Salaried,46,Mass,27532,26850,0.9751934042785022,1,1,15,0,19,370,484,490,1225,0.02,3,1,0,0,18,0,-33,0.49,118.6822478945903,9.500883985366702,0,0,0,0
CUST_00006,25,Female,2689,Salaried,201,Mass,29467,34832,1.1820279625356318,0,1,0,0,21,56,1548,723,1645,0.21,4,1,0,0,26,0,-66,0.05,104.82131928178701,8.8274475876711,0,0,0,0
CUST_00007,38,Female,6782,Self-Employed,100,Mass,18772,41179,2.1935226122622917,0,1,0,0,15,308,287,777,1927,0.05,3,1,0,0,17,0,29,0.41,95.70204547317991,8.521122904003729,0,0,0,0
CUST_00008,56,Female,6507,Unemployed,26,Mass,31846,19015,0.5970735077087324,0,2,0,0,19,228,904,203,1417,0.26,2,1,0,0,14,0,53,0.28,121.38075731060862,4.031583717910277,0,0,0,0
CUST_00009,36,Male,3996,Salaried,75,Mass,35518,10691,0.3009938342858752,1,2,30,0,22,212,1092,7,2528,0.21,2,1,0,0,15,0,3,0.1,104.02345178755402,9.469524124397399,0,0,0,0
CUST_00010,40,Male,18813,Salaried,212,Mass,37939,2016,0.053136531365313655,0,0,15,0,9,108,1573,127,1440,0.35,3,1,1,1,16,0,-92,0.15,108.26635152304608,8.227197364848607,0,0,0,0
CUST_00011,28,Female,10631,Salaried,181,Affluent,5510,33393,6.0593358737071314,0,2,0,0,17,84,1071,790,3847,0.14,2,0,0,0,17,0,-36,0.3,112.8156381101767,8.595423388522061,0,0,0,0
CUST_00012,28,Female,6507,Salaried,191,Mass,1484,31189,21.002693602693604,0,3,0,0,22,125,1779,899,4136,0.2,4,1,0,0,22,1,-75,0.14,103.60528833254143,9.886995017204718,0,0,0,0
CUST_00013,41,Female,2527,Salaried,112,Mass,34063,9856,0.28933771723813995,0,0,15,0,18,257,1631,436,230,0.01,3,1,1,0,25,0,-5,0.15,116.11679622398826,8.333215428493421,0,0,0,0
CUST_00014,53,Male,4996,Unemployed,63,Mass,39357,48232,1.225468773819808,1,2,0,0,32,283,223,476,752,0.17,4,0,0,0,15,0,23,0.29,104.70880805828055,5.391663849320395,0,0,0,0
CUST_00015,57,Male,5467,Self-Employed,112,Affluent,47314,36109,0.7631617880164853,0,1,0,0,15,221,190,493,378,0.22,3,0,0,1,18,0,70,0.23,99.0044753016193,9.04130693090736,0,0,0,0
CUST_00016,41,Male,19745,Self-Employed,166,Mass,1347,16447,12.201038575667656,1,0,0,0,12,143,1558,672,3655,0.32,4,1,0,0,15,1,-31,0.45,108.92079203215741,7.285832490841034,0,1,0,0
CUST_00017,20,Female,16772,Self-Employed,143,Mass,40861,42951,1.0511232930350938,0,3,30,0,20,440,523,707,463,0.12,4,1,1,1,15,0,-72,0.23,95.9430208933083,4.3956677908784965,0,0,0,1
CUST_00018,39,Male,2703,Salaried,99,Mass,22601,25525,1.1293248385098664,0,2,0,0,19,345,123,142,2556,0.11,1,0,0,0,12,0,-82,0.13,108.45936777220193,7.380093947860753,0,0,0,0
CUST_00019,19,Female,2662,Unemployed,9,Mass,19877,48279,2.428765469363115,1,1,0,0,22,306,1044,246,3265,0.22,4,1,0,0,18,0,61,0.06,111.48785668719589,3.4616902488430132,0,0,0,0
CUST_00020,41,Female,11114,Salaried,225,Mass,48342,17280,0.3574457522288646,0,0,0,0,24,113,35,11,3493,0.05,1,0,1,0,14,0,59,0.23,98.71421487963308,7.158930532362106,1,0,0,0
CUST_00021,61,Male,8256,Unemployed,75,Mass,8127,22242,2.736466535433071,1,2,0,0,18,459,282,511,3184,0.08,3,0,0,1,13,0,71,0.25,103.50050150928438,4.822454682558542,0,0,0,0
CUST_00022,47,Female,10367,Self-Employed,22,Mass,37725,48616,1.288660340348831,0,2,0,0,22,387,303,787,244,0.15,2,0,0,0,12,0,-47,0.28,106.21531063751151,6.1748671942004485,0,0,0,0
CUST_00023,55,Male,15460,Salaried,198,Mass,37839,7367,0.19468816067653277,0,0,15,1,25,354,126,701,4359,0.1,1,0,0,1,19,0,-21,0.33,97.06634029647456,8.807743355838513,0,0,0,0
CUST_00024,19,Female,7297,Salaried,184,Mass,13091,18463,1.4102505346776657,0,1,0,0,16,394,1431,625,1959,0.13,3,1,0,0,14,0,19,0.17,110.55721346670816,7.145538672926624,0,0,0,0
CUST_00025,38,Female,10573,Salaried,37,Mass,27308,16384,0.5999487348493171,0,1,0,0,19,185,211,609,1520,0.29,2,0,1,0,15,0,-74,0.13,106.67344941944262,7.456935899643778,0,0,0,0
CUST_00026,50,Male,17582,Salaried,57,Mass,27388,37569,1.3716820621417358,0,0,0,0,21,139,119,471,4565,0.1,1,1,0,0,15,0,-47,0.16,97.56962311644352,3.9191572049534456,0,0,0,0
CUST_00027,29,Female,7378,Salaried,188,Mass,10129,20393,2.0131293188548867,0,3,0,0,17,80,104,463,2737,0.14,4,1,0,1,17,0,42,0.02,112.16451036844083,9.97067895698083,0,0,0,0
CUST_00028,39,Female,15500,Self-Employed,114,Affluent,27296,27629,1.0121625087005899,0,0,15,0,16,343,1138,546,4788,0.07,2,1,0,0,13,0,33,0.16,108.0479890105847,5.95845479661178,0,0,0,0
CUST_00029,61,Female,2305,Self-Employed,213,Affluent,47307,32718,0.6915955018178743,0,1,0,0,23,219,653,286,3806,0.07,2,1,1,0,14,0,-17,0.16,98.32360922402329,9.553148034151985,0,0,0,0
CUST_00030,42,Female,6697,Salaried,140,HNI,20038,16105,0.8036828185039173,0,1,15,1,19,234,1140,874,365,0.13,1,1,0,0,16,0,-39,0.07,106.1338589945453,6.540677361219117,0,0,0,1
CUST_00031,66,Female,9222,Salaried,135,Mass,25982,38792,1.4929761767309395,0,1,0,0,30,422,183,567,3537,0.02,1,1,1,0,18,0,-31,0.1,105.17346642262982,9.852769911375653,0,0,0,0
CUST_00032,44,Female,9933,Self-Employed,194,Mass,21325,19017,0.8917284066397825,0,1,0,0,24,368,176,326,2782,0.03,2,1,0,0,15,0,-10,0.28,110.96444495071098,7.245679075481695,0,0,0,0
CUST_00033,59,Female,19849,Salaried,103,Mass,1595,28823,18.05952380952381,0,2,0,0,20,74,204,554,3252,0.15,2,1,0,0,8,1,6,0.1,113.07459702454271,5.1854916563705284,0,0,0,0
CUST_00034,45,Female,13463,Salaried,41,Mass,44982,26993,0.6000711379854612,0,1,0,0,20,252,270,205,1812,0.14,3,1,0,0,16,0,-28,0.11,108.77864838280215,6.357534985222777,0,1,0,0
CUST_00035,33,Male,2402,Self-Employed,152,Mass,35074,1682,0.047954383464005705,0,1,0,0,20,488,438,620,2251,0.16,4,0,0,0,21,0,-16,0.14,113.09626133800572,3.90709379718417,0,0,0,0
CUST_00036,32,Male,14901,Salaried,218,Mass,48411,33330,0.6884656696686772,0,1,30,0,19,127,137,319,958,0.17,1,1,0,0,12,0,0,0.45,107.24814117743365,9.405267320332385,0,0,0,0
CUST_00037,64,Female,8940,Salaried,153,Mass,8899,39760,4.467415730337079,0,4,0,0,22,117,1990,251,3702,0.12,3,1,1,0,16,1,13,0.11,107.29283380709079,5.328931125490804,0,0,0,0
CUST_00038,68,Female,18022,Salaried,190,Mass,10057,49409,4.912408033406244,0,0,0,0,19,239,1550,927,775,0.17,2,1,0,0,8,0,62,0.21,102.853550925356,4.664215065092781,1,0,0,0
CUST_00039,61,Male,10095,Salaried,212,HNI,6001,6665,1.1104631789403532,1,0,0,0,17,36,1797,666,2896,0.22,2,1,0,0,11,0,-51,0.39,106.26820811250975,8.692338652857924,0,0,0,0
CUST_00040,69,Female,12842,Salaried,232,Mass,40544,31846,0.7854482673572574,1,0,0,0,18,292,482,278,3182,0.26,3,0,0,0,19,0,-83,0.26,101.04275544798051,7.874335491808259,0,0,0,0
CUST_00041,20,Male,6544,Salaried,105,Mass,30160,12477,0.4136799177746096,0,1,0,0,19,117,530,600,4765,0.16,3,1,0,0,12,0,-56,0.05,107.87745983228965,6.4540463786876785,0,0,0,0
CUST_00042,54,Male,8074,Salaried,106,Mass,44385,21057,0.4744063443428108,0,1,0,0,17,374,331,888,3188,0.15,2,1,0,1,17,0,71,0.22,104.50761800802127,3.153910459979934,0,0,0,0
CUST_00043,68,Male,8850,Self-Employed,44,Affluent,45717,29959,0.6552998818845969,0,0,0,0,15,11,436,620,230,0.14,4,0,0,0,13,0,64,0.03,101.43763081231259,3.903430569506665,0,0,0,0
CUST_00044,24,Female,2750,Self-Employed,130,Affluent,10755,26417,2.4560245444403126,0,0,0,0,23,93,927,555,2495,0.14,3,1,0,0,6,0,41,0.1,97.14194365194115,4.477733723924352,1,0,0,0
CUST_00045,38,Female,3617,Self-Employed,170,Mass,25321,39774,1.570729010346734,0,1,0,0,30,185,1803,223,130,0.19,1,1,0,0,13,0,-31,0.16,103.62119067508922,6.273844817890508,0,0,0,0
CUST_00046,26,Female,4530,Salaried,227,Mass,24952,20259,0.8118863463311025,0,1,30,1,27,410,1111,290,1850,0.08,2,1,0,0,10,0,84,0.05,115.63805464343372,4.560057592591674,0,0,0,1
CUST_00047,56,Male,5333,Salaried,161,Affluent,16261,47751,2.936354691919813,0,2,0,0,10,48,674,805,1549,0.14,1,1,0,0,15,0,-76,0.2,106.2224580811482,6.495328680582696,0,0,0,0
CUST_00048,35,Male,9234,Salaried,145,Mass,22051,36861,1.671549065844368,0,1,0,0,22,259,189,968,1679,0.1,2,1,0,0,15,0,47,0.32,107.12470152370993,6.107607791465936,0,0,0,0
CUST_00049,21,Male,2511,Self-Employed,122,HNI,14515,19038,1.3115183246073299,1,1,15,0,16,304,681,176,2001,0.23,1,0,0,0,14,1,50,0.06,109.40772198436187,5.0510006992439545,0,0,0,0
CUST_00050,42,Female,16546,Salaried,191,Mass,20365,20368,1.0000982028871648,0,2,0,0,25,401,1776,84,3716,0.03,2,1,1,0,16,0,-11,0.14,100.50310301772927,7.496088850174008,0,0,0,0
CUST_00051,31,Male,7082,Salaried,150,Mass,18361,12792,0.6966561376756345,1,0,0,0,20,311,1217,638,4666,0.2,1,0,1,0,18,0,95,0.06,103.00322627266401,8.32788953535485,0,0,0,0
CUST_00052,67,Male,18636,Salaried,1,Affluent,23169,18253,0.7877859300820026,0,0,0,0,15,396,1286,433,101,0.21,3,1,0,0,19,0,2,0.19,97.98886637472174,5.950825643243016,0,0,0,0
CUST_00053,26,Female,10820,Unemployed,229,Mass,2997,16761,5.590727151434289,0,0,30,0,9,264,1755,237,4750,0.03,1,1,0,0,14,0,-66,0.25,101.97679724821938,5.298131337179026,0,0,0,1
CUST_00054,43,Male,5476,Unemployed,94,Mass,6350,18776,2.956384821287986,0,2,15,0,23,202,780,515,2315,0.05,4,0,0,0,19,0,-55,0.07,98.21935719213617,6.714537126398138,0,0,0,0
CUST_00055,19,Male,11178,Salaried,238,Mass,2287,13517,5.90777972027972,0,0,15,0,26,294,1964,721,1272,0.04,4,1,0,0,17,0,-90,0.04,105.39447849379432,3.251468268621253,0,0,0,0
CUST_00056,37,Female,3725,Self-Employed,198,Affluent,32042,31976,0.9979090597010267,1,0,0,0,29,122,719,79,3687,0.24,4,0,0,1,15,0,90,0.29,106.53551774848944,9.44515645796247,0,0,0,0
CUST_00057,45,Female,15765,Salaried,233,Mass,29287,33547,1.145417918601475,0,0,0,0,17,40,1826,651,1078,0.21,1,1,0,0,13,0,-20,0.06,101.36888619870598,7.279408784818825,0,1,0,0
CUST_00058,64,Male,3701,Salaried,182,Mass,35829,36179,1.0097404409712532,0,1,0,0,21,80,1264,690,3586,0.19,3,1,0,0,14,0,-33,0.18,113.78602217925526,3.206903664094006,0,0,0,0
CUST_00059,24,Female,10496,Salaried,14,Mass,19830,865,0.04361857697544249,0,1,0,0,24,188,1613,117,4330,0.17,1,0,0,0,12,0,-34,0.15,107.9189079654935,6.802457775860078,0,0,0,0
CUST_00060,61,Male,14270,Salaried,100,Affluent,29184,36407,1.247455884872366,0,0,0,0,18,380,625,651,4211,0.11,2,0,1,0,16,0,95,0.17,113.43003712018505,4.573934202579987,0,0,0,0
CUST_00061,25,Female,12472,Salaried,225,Mass,16788,15920,0.9482399189945798,0,0,0,0,29,470,1677,446,3940,0.13,1,1,0,0,10,0,80,0.09,101.60358609418608,7.498637129411909,0,0,0,0
CUST_00062,64,Male,4807,Unemployed,102,Mass,34183,7091,0.20743622747484203,1,0,0,0,16,369,256,107,2748,0.06,2,1,0,0,14,0,-27,0.28,108.49694416347296,6.703512359621232,0,0,0,0
CUST_00063,52,Female,17654,Self-Employed,231,Mass,25968,33306,1.2825291693942777,0,0,0,0,21,195,394,216,4172,0.06,2,1,1,0,16,1,-10,0.13,97.0593141621578,4.595494963265851,0,0,0,0
CUST_00064,31,Male,13078,Salaried,53,Affluent,23255,36797,1.5822583419332645,1,2,0,0,14,158,9,120,1322,0.25,4,0,0,0,22,0,-99,0.21,107.39038872484589,7.6009455356842786,1,0,0,0
CUST_00065,34,Female,9572,Salaried,6,Affluent,7813,42065,5.38328640900947,0,1,0,0,21,488,679,542,963,0.01,3,1,0,1,20,0,30,0.06,98.238813245313,9.455602945958596,0,0,0,0
CUST_00066,53,Female,19408,Salaried,90,Mass,11488,42725,3.7187744799373315,0,0,0,0,19,291,589,365,1962,0.06,3,1,0,0,15,0,84,0.23,110.44911448992336,6.583607093619872,0,0,0,0
CUST_00067,67,Female,10698,Salaried,64,Affluent,29465,47571,1.6144369782121768,0,0,15,0,23,359,958,684,4161,0.13,1,1,0,0,13,0,-62,0.16,106.22008155919566,7.4447916559133205,0,0,0,0
CUST_00068,57,Female,6856,Self-Employed,88,Mass,19699,13468,0.6836548223350254,0,0,0,0,19,72,1317,326,1336,0.16,4,1,0,0,17,0,45,0.08,102.43511277821163,8.283435173364545,0,0,0,0
CUST_00069,21,Female,8724,Salaried,33,Mass,47884,14275,0.29811005534092094,0,1,60,0,22,490,352,22,328,0.17,2,1,0,0,18,0,22,0.02,106.61435021077862,5.361425711377698,0,0,0,0
CUST_00070,19,Female,11245,Self-Employed,72,Affluent,22169,6222,0.28064952638700946,0,0,0,0,15,363,924,424,3769,0.15,4,1,0,0,18,0,98,0.16,112.40659907011188,8.977077606548514,0,0,0,0
CUST_00071,23,Female,12866,Salaried,44,Mass,46722,21800,0.46657962887657045,0,1,0,1,16,454,946,160,4515,0.14,2,1,0,1,13,1,80,0.02,103.73179417885885,3.4389563243404035,0,0,0,0
CUST_00072,59,Male,12096,Salaried,107,Mass,37861,40475,1.0690137869103586,0,1,0,0,25,197,1980,166,3999,0.15,3,0,0,0,22,0,-21,0.03,101.23879669674834,6.3887092890574175,0,0,0,0
CUST_00073,21,Male,6587,Salaried,34,Affluent,1476,11455,7.755585646580907,0,2,0,0,18,315,1799,712,3877,0.19,4,0,0,0,13,0,9,0.2,101.27313315368265,9.92806441021688,1,0,0,0
CUST_00074,46,Female,6922,Unemployed,162,Mass,17633,7143,0.40506975161619596,0,3,30,0,23,11,1504,569,4502,0.13,3,1,0,0,17,0,-91,0.19,108.05064805281938,6.043261068000424,0,0,0,0
CUST_00075,35,Female,7046,Self-Employed,152,Mass,4055,11876,2.9280078895463513,0,2,0,0,18,78,828,447,3202,0.06,3,1,0,0,11,0,-60,0.24,108.98907889085787,7.619553062866519,0,0,0,0
CUST_00076,43,Male,9203,Salaried,2,Affluent,44628,24463,0.5481413430728899,1,0,0,0,20,248,130,299,923,0.1,2,1,0,0,14,0,95,0.13,103.7174323182676,7.290893601369535,0,0,0,0
CUST_00077,61,Male,17403,Self-Employed,136,Mass,21683,29461,1.3586515403062165,0,3,0,0,21,136,648,183,849,0.21,1,1,0,0,18,0,7,0.11,99.79257774327493,6.483873126890755,0,0,0,0
CUST_00078,51,Female,11828,Unemployed,117,Mass,40723,7214,0.17714369904724486,2,0,0,0,19,497,268,163,778,0.19,4,1,0,0,10,0,-93,0.3,109.7269409679902,9.149049427396314,0,0,0,0
CUST_00079,27,Male,17797,Salaried,153,Mass,19899,29200,1.4673366834170853,0,1,30,0,24,119,1541,631,3742,0.22,2,1,1,0,8,2,-25,0.03,107.67103569988784,9.742552666867063,0,0,0,1
CUST_00080,53,Male,2038,Salaried,121,Mass,12318,6488,0.5266661254971995,0,2,0,0,26,15,633,144,3701,0.33,3,1,0,0,16,0,-15,0.09,110.01864165864536,7.38176924604085,0,1,0,0
CUST_00081,31,Female,8265,Salaried,222,Mass,41728,36363,0.8714083730738815,0,1,0,0,27,421,1571,587,3378,0.1,4,0,0,0,19,0,54,0.06,103.13158316627381,3.3774156304823917,0,0,0,0
CUST_00082,48,Female,8598,Salaried,32,Mass,31428,8594,0.27344172579464826,0,0,15,0,14,199,762,316,2764,0.18,2,1,0,1,17,0,85,0.04,106.90999139231755,7.022713959632297,0,0,0,0
CUST_00083,65,Female,4415,Self-Employed,56,Mass,3528,35069,9.937376027203173,0,1,0,0,24,156,1765,740,3370,0.15,2,1,1,0,17,0,67,0.06,107.0224566424014,7.512546892386264,0,0,0,0
CUST_00084,32,Male,19142,Salaried,94,Affluent,26087,46094,1.7668659920269856,0,2,15,0,19,352,1220,681,4861,0.11,3,0,1,0,23,0,-3,0.31,98.12423568241968,4.540631726004039,0,0,0,0
CUST_00085,25,Female,19148,Salaried,7,Mass,43595,35816,0.8215432608496193,1,1,0,0,22,185,1669,374,623,0.19,3,1,0,0,14,0,-38,0.02,108.31767397240915,9.146777754370483,0,0,0,0
CUST_00086,31,Female,16306,Salaried,176,Mass,5739,35352,6.1588850174216025,0,0,0,0,16,106,270,493,1535,0.16,3,1,0,1,12,0,68,0.12,101.97167778011196,4.7749535575228395,0,0,0,0
CUST_00087,40,Male,16577,Salaried,88,Affluent,18132,37026,2.041912535156896,0,0,0,0,23,454,1310,97,1922,0.18,2,1,0,0,14,0,-17,0.46,105.49630773407137,7.266546600131016,0,0,0,0
CUST_00088,57,Female,13885,Salaried,182,Affluent,11899,32566,2.7366386554621847,0,0,0,0,21,258,163,431,3738,0.17,4,1,1,0,8,0,11,0.29,104.843672122093,5.507089565049407,0,0,0,0
CUST_00089,38,Male,13377,Self-Employed,191,Mass,28047,43070,1.5355818596691386,0,1,0,0,25,393,1016,7,2871,0.3,3,1,1,0,23,0,80,0.27,115.81784373658243,8.183367743556426,0,0,0,0
CUST_00090,33,Male,13058,Salaried,201,Mass,34673,49394,1.4245255811270692,0,1,15,0,19,293,224,823,3105,0.26,2,1,1,1,20,0,-39,0.05,104.41942952621119,5.943427418659594,0,0,0,0
CUST_00091,62,Male,9443,Salaried,208,Mass,23038,2350,0.10200095490255653,0,1,0,0,15,407,1670,251,3529,0.15,1,0,1,0,12,0,-9,0.14,102.99150862677944,5.74941936288586,0,0,0,0
CUST_00092,35,Male,19701,Salaried,130,Mass,15869,25538,1.609199747952111,0,1,0,0,21,79,575,337,3161,0.1,1,1,0,0,11,0,-9,0.09,108.13452844702589,9.109578673607203,0,0,0,0
CUST_00093,64,Male,19084,Unemployed,35,Mass,17198,9331,0.5425315425315426,0,1,0,0,22,348,658,851,3129,0.29,4,1,0,0,20,0,57,0.31,111.38145541284653,5.596280288627777,0,0,0,0
CUST_00094,41,Male,6383,Salaried,98,Mass,35380,30673,0.8669342302365677,0,2,30,0,19,395,1078,202,4836,0.16,4,1,1,0,13,0,59,0.09,102.45414020504892,6.649595702285577,1,0,0,1
CUST_00095,43,Female,3593,Salaried,22,Mass,47047,10559,0.2244303689848665,0,2,0,0,19,208,501,344,3845,0.14,2,0,0,0,23,0,70,0.32,104.98113451150837,5.650648552971317,0,0,0,0
CUST_00096,42,Female,16758,Salaried,211,HNI,32135,13775,0.428647000248942,0,3,15,0,18,103,897,172,3993,0.14,4,0,1,0,11,0,-41,0.11,112.53705613809767,5.091872541709839,0,0,0,0
CUST_00097,62,Female,9026,Salaried,192,Affluent,29816,9678,0.32457993761947884,0,0,15,0,18,388,97,658,1913,0.02,3,0,0,0,8,0,-84,0.19,112.75533050360275,3.436858755634653,0,0,0,0
CUST_00098,58,Male,4612,Salaried,59,Mass,32867,41924,1.2755263478155043,1,1,0,0,20,171,312,125,2292,0.24,1,1,0,0,15,0,31,0.29,106.5758559577468,5.186033479696995,0,1,0,0
CUST_00099,46,Female,13329,Self-Employed,177,Mass,45750,2665,0.05825009289414439,0,2,0,0,24,19,1391,208,86,0.18,3,1,0,0,10,0,-4,0.21,112.38675276920416,6.57246171833257,0,0,0,0
CUST_00100,32,Male,3908,Self-Employed,52,Affluent,36938,47089,1.2747773356073526,0,0,30,0,17,195,1524,918,375,0.26,1,0,1,0,9,0,-56,0.06,108.17219418971865,5.869156113088538,0,0,0,1
CUST_00101,62,Female,8954,Salaried,149,Affluent,49301,13129,0.2662975132854651,0,1,0,0,27,301,1586,286,2591,0.15,1,1,0,0,14,0,85,0.06,104.80213793881701,3.1587737366047524,1,0,0,0
CUST_00102,18,Male,17185,Salaried,140,HNI,18793,44367,2.360700223475577,0,0,0,0,21,74,675,684,2040,0.33,1,1,1,0,15,0,-24,0.3,102.21736238516912,3.931979284002061,0,0,0,0
CUST_00103,42,Female,17496,Self-Employed,11,Mass,12788,6526,0.5102822738290719,0,4,15,0,26,375,1442,130,799,0.09,3,1,0,1,17,0,-27,0.67,100.79127301476704,4.924909626604654,0,0,0,0
CUST_00104,24,Male,4928,Salaried,182,Mass,4963,23681,4.77054794520548,0,0,0,0,26,297,1316,459,2277,0.28,3,1,0,1,16,1,-3,0.25,100.63701816181513,4.397079659218878,0,0,0,0
CUST_00105,26,Female,11280,Salaried,211,Affluent,7274,5245,0.7209621993127148,0,4,0,0,10,420,35,783,1180,0.02,2,1,0,0,18,0,-40,0.06,102.95901410049478,7.6869281773175455,0,0,0,0
CUST_00106,41,Male,9681,Salaried,122,Mass,35691,47843,1.3404404348313348,0,1,0,0,22,367,1028,714,1539,0.21,1,1,0,0,15,0,74,0.6,115.16081865120292,9.2638770369405,0,0,0,0
CUST_00107,18,Female,6127,Self-Employed,198,Affluent,33009,34162,1.0348985156013328,1,0,15,0,21,470,1369,680,1738,0.21,1,0,0,0,14,1,-89,0.14,113.71391263673496,7.193990230382413,0,1,0,0
CUST_00108,61,Male,6963,Self-Employed,234,Mass,11954,47512,3.974236721037223,0,2,0,0,16,299,1428,508,4631,0.25,2,1,0,0,20,0,22,0.2,103.87935087803278,3.7236833489768855,0,0,0,0
